"a1","a2","a3","a4","b1","b2","b3","b4"
  26,  30,  35,  41,   2,   6,   7,   5
  26,  35,  30,  41,   2,   7,   6,   5
  41,  10,  25,   6,   9,   2,   5,   2
  41,  15,  30,  11,   8,   3,   6,   2
  41,  25,  10,   6,   9,   5,   2,   2
  41,  30,  15,  11,   8,   6,   3,   2
  41,  30,  30,  21,   8,   3,   3,   6
  41,  30,  35,  26,   5,   6,   7,   2
  41,  35,  30,  26,   5,   7,   6,   2
   6,   5,  45,  36,   3,   1,   9,   9
   6,  45,   5,  36,   3,   9,   1,   9
  11,  10,  45,  41,   2,   2,   9,   8
  11,  45,  10,  41,   2,   9,   2,   8
  21,  10,  45,  21,   6,   2,   9,   6
  21,  45,  10,  21,   6,   9,   2,   6
  26,  15,  45,  26,   5,   3,   9,   5
  26,  45,  15,  26,   5,   9,   3,   5
  36,   5,  45,   6,   9,   1,   9,   3
  36,  45,   5,   6,   9,   9,   1,   3
  41,  10,  45,  11,   8,   2,   9,   2
  41,  45,  10,  11,   8,   9,   2,   2
  11,  20,  25,  46,   1,   4,   5,   8
  11,  25,  20,  46,   1,   5,   4,   8
  31,  35,  40,  46,   1,   7,   8,   4
  31,  40,  35,  46,   1,   8,   7,   4
  46,  20,  25,  11,   8,   4,   5,   1
  46,  25,  20,  11,   8,   5,   4,   1
  46,  35,  40,  31,   4,   7,   8,   1
  46,  40,  35,  31,   4,   8,   7,   1
  11,  10,  50,  41,   6,   1,   5,   9
  11,  50,  10,  41,   6,   5,   1,   9
  21,  10,  50,  21,   8,   1,   5,   8
  21,  50,  10,  21,   8,   5,   1,   8
  31,  20,  50,  31,   7,   2,   5,   7
  31,  50,  20,  31,   7,   5,   2,   7
  41,  10,  50,  11,   9,   1,   5,   6
  41,  50,  10,  11,   9,   5,   1,   6
   6,  10,  30,  51,   0,   2,   6,   9
   6,  15,  20,  51,   0,   3,   4,   9
   6,  20,  15,  51,   0,   4,   3,   9
   6,  30,  10,  51,   0,   6,   2,   9
  11,  20,  30,  51,   5,   2,   3,   9
  11,  30,  20,  51,   5,   3,   2,   9
  16,  20,  40,  51,   0,   4,   8,   7
  16,  40,  20,  51,   0,   8,   4,   7
  21,  30,  35,  51,   0,   6,   7,   6
  21,  35,  30,  51,   0,   7,   6,   6
  31,  40,  40,  51,   5,   4,   4,   7
  36,  40,  45,  51,   0,   8,   9,   3
  36,  45,  40,  51,   0,   9,   8,   3
  51,  10,  30,   6,   9,   2,   6,   0
  51,  15,  20,   6,   9,   3,   4,   0
  51,  20,  15,   6,   9,   4,   3,   0
  51,  20,  30,  11,   9,   2,   3,   5
  51,  20,  40,  16,   7,   4,   8,   0
  51,  30,  10,   6,   9,   6,   2,   0
  51,  30,  20,  11,   9,   3,   2,   5
  51,  30,  35,  21,   6,   6,   7,   0
  51,  35,  30,  21,   6,   7,   6,   0
  51,  40,  20,  16,   7,   8,   4,   0
  51,  40,  40,  31,   7,   4,   4,   5
  51,  40,  45,  36,   3,   8,   9,   0
  51,  45,  40,  36,   3,   9,   8,   0
  11,  10,  60,  51,   5,   1,   6,   9
  11,  60,  10,  51,   5,   6,   1,   9
  51,  10,  60,  11,   9,   1,   6,   5
  51,  60,  10,  11,   9,   6,   1,   5
  41,  50,  50,  61,   4,   5,   5,   6
  61,  50,  50,  41,   6,   5,   5,   4
  11,  10,  70,  61,   4,   1,   7,   9
  11,  70,  10,  61,   4,   7,   1,   9
  21,  10,  70,  31,   7,   1,   7,   8
  21,  70,  10,  31,   7,   7,   1,   8
  31,  10,  70,  21,   8,   1,   7,   7
  31,  70,  10,  21,   8,   7,   1,   7
  41,  30,  70,  51,   5,   3,   7,   6
  41,  70,  30,  51,   5,   7,   3,   6
  51,  30,  70,  41,   6,   3,   7,   5
  51,  70,  30,  41,   6,   7,   3,   5
  61,  10,  70,  11,   9,   1,   7,   4
  61,  70,  10,  11,   9,   7,   1,   4
  11,  20,  40,  71,   3,   2,   4,   9
  11,  40,  20,  71,   3,   4,   2,   9
  21,  30,  50,  71,   3,   3,   5,   8
  21,  50,  30,  71,   3,   5,   3,   8
  51,  60,  60,  71,   3,   6,   6,   5
  71,  20,  40,  11,   9,   2,   4,   3
  71,  30,  50,  21,   8,   3,   5,   3
  71,  40,  20,  11,   9,   4,   2,   3
  71,  50,  30,  21,   8,   5,   3,   3
  71,  60,  60,  51,   5,   6,   6,   3
  11,  10,  80,  71,   3,   1,   8,   9
  11,  80,  10,  71,   3,   8,   1,   9
  31,  20,  80,  51,   5,   2,   8,   7
  31,  80,  20,  51,   5,   8,   2,   7
  51,  20,  80,  31,   7,   2,   8,   5
  51,  80,  20,  31,   7,   8,   2,   5
  71,  10,  80,  11,   9,   1,   8,   3
  71,  80,  10,  11,   9,   8,   1,   3
  11,  30,  30,  81,   2,   3,   3,   9
  31,  50,  50,  81,   2,   5,   5,   7
  61,  70,  70,  81,   2,   7,   7,   4
  81,  30,  30,  11,   9,   3,   3,   2
  81,  50,  50,  31,   7,   5,   5,   2
  81,  70,  70,  61,   4,   7,   7,   2
  11,  10,  90,  81,   2,   1,   9,   9
  11,  90,  10,  81,   2,   9,   1,   9
  21,  10,  90,  41,   6,   1,   9,   8
  21,  90,  10,  41,   6,   9,   1,   8
  41,  10,  90,  21,   8,   1,   9,   6
  41,  90,  10,  21,   8,   9,   1,   6
  51,  40,  90,  71,   3,   4,   9,   5
  51,  90,  40,  71,   3,   9,   4,   5
  71,  40,  90,  51,   5,   4,   9,   3
  71,  90,  40,  51,   5,   9,   4,   3
  81,  10,  90,  11,   9,   1,   9,   2
  81,  90,  10,  11,   9,   9,   1,   2
  11,  20,  50,  91,   1,   2,   5,   9
  11,  50,  20,  91,   1,   5,   2,   9
  31,  40,  70,  91,   1,   4,   7,   7
  31,  70,  40,  91,   1,   7,   4,   7
  71,  80,  80,  91,   1,   8,   8,   3
  91,  20,  50,  11,   9,   2,   5,   1
  91,  40,  70,  31,   7,   4,   7,   1
  91,  50,  20,  11,   9,   5,   2,   1
  91,  70,  40,  31,   7,   7,   4,   1
  91,  80,  80,  71,   3,   8,   8,   1
  21,  30,  70, 101,   0,   3,   7,   8
  21,  70,  30, 101,   0,   7,   3,   8
  81,  90,  90, 101,   0,   9,   9,   2
 101,  30,  70,  21,   8,   3,   7,   0
 101,  70,  30,  21,   8,   7,   3,   0
 101,  90,  90,  81,   2,   9,   9,   0
